stratum_id,communities,cut,whole_history_necessary_accounts,accounts_with_four_volume_cells,accounts_passing_internal_gates,compatible_edges,maximum_disjoint_blocks,cost_numerator,cost_denominator,matching_dp_states,intended_block_deficit
stratum-02,AskPhysics / Physics,2013-10-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2013-11-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2013-12-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2014-01-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2014-02-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2014-03-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2014-04-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2014-05-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2014-06-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2014-07-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2014-08-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2014-09-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2014-10-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2014-11-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2014-12-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2015-01-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2015-02-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2015-03-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2015-04-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2015-05-01T00:00:00Z,33,1,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2015-06-01T00:00:00Z,33,1,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2015-07-01T00:00:00Z,33,1,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2015-08-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2015-09-01T00:00:00Z,33,1,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2015-10-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2015-11-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2015-12-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2016-01-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2016-02-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2016-03-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2016-04-01T00:00:00Z,33,0,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2016-05-01T00:00:00Z,33,1,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2016-06-01T00:00:00Z,33,1,1,0,0,0,1,2,2
stratum-02,AskPhysics / Physics,2016-07-01T00:00:00Z,33,1,1,0,0,0,1,2,2
stratum-02,AskPhysics / Physics,2016-08-01T00:00:00Z,33,2,1,0,0,0,1,2,2
stratum-02,AskPhysics / Physics,2016-09-01T00:00:00Z,33,2,1,0,0,0,1,2,2
stratum-02,AskPhysics / Physics,2016-10-01T00:00:00Z,33,3,1,0,0,0,1,2,2
stratum-02,AskPhysics / Physics,2016-11-01T00:00:00Z,33,3,1,0,0,0,1,2,2
stratum-02,AskPhysics / Physics,2016-12-01T00:00:00Z,33,4,1,0,0,0,1,2,2
stratum-02,AskPhysics / Physics,2017-01-01T00:00:00Z,33,4,0,0,0,0,1,0,2
stratum-02,AskPhysics / Physics,2017-02-01T00:00:00Z,33,3,2,0,0,0,1,4,2
stratum-02,AskPhysics / Physics,2017-03-01T00:00:00Z,33,5,4,0,0,0,1,8,2
stratum-02,AskPhysics / Physics,2017-04-01T00:00:00Z,33,5,3,1,1,1161101,1080000,5,1
